19 0 06.2 r1.2 05.1 96.0 0
19 0 41.2 r1.1 82.0      1
19 0 41.2 r1.1 37.0      1
19 0 41.2 r1.1 20.0      1
19 0 41.2 r1.1 33.0      1
19 0 41.2 r1.2 60.1 33.0 1
19 0 41.2 r2.1 96.0      1
19 0 40.2 r1.1 82.0      1
19 0 40.2 r1.1 37.0      1
19 0 40.2 r1.1 20.0      1
19 0 40.2 r1.1 33.0      1
19 0 40.2 r1.2 60.1 33.0 1
19 0 40.2 r2.1 96.0      1
19 0 05.1 r1.1 82.0      1
19 0 05.1 r1.1 37.0      1
19 0 05.1 r1.1 20.0      1
19 0 05.1 r1.1 33.0      1
19 0 05.1 r1.2 60.1 33.0 1
19 0 05.1 r2.1 96.0      1
19 0 41.2 r2.2 15.0 96.0 1
19 0 41.2 r2.2 66.0 96.0 1
19 0 41.2 r2.2 66.0 70.0 1
19 0 41.2 r2.2 96.0 38.0 1
19 0 40.2 r2.2 15.0 96.0 1
19 0 40.2 r2.2 66.0 96.0 1
19 0 40.2 r2.2 66.0 70.0 1
19 0 40.2 r2.2 96.0 38.0 1
19 0 05.1 r2.2 15.0 96.0 1
19 0 05.1 r2.2 66.0 96.0 1
19 0 05.1 r2.2 66.0 70.0 1
19 0 05.1 r2.2 96.0 38.0 1
19 0 96.0 r4.0 24.0      1
19 0 15.0 r4.0 24.0      1
19 0 66.0 r4.0 24.0      1
19 0 82.0 r1.2 64.2 95.0 1
19 0 82.0 r1.2 64.2 37.0 1
19 0 82.0 r1.3 72.1 76.0 1
19 0 82.0 r1.3 72.1 73.0 1
19 0 82.0 r1.2 59.0 49.2 1
19 0 82.0 r1.2 59.0 33.0 1
19 0 82.0 r1.2 72.1 95.0 1
19 0 82.0 r1.2 72.1 37.0 1
19 0 82.0 r1.2 59.0 95.0 1
19 0 82.0 r1.2 59.0 37.0 1
19 0 82.0 r1.2 80.0 95.0 1
19 0 82.0 r1.2 80.0 37.0 1
19 0 82.0 r1.2 72.2 95.0 1
19 0 82.0 r1.2 72.2 37.0 1
19 0 37.0 r1.2 64.2 95.0 1
19 0 37.0 r1.3 72.1 76.0 1
19 0 37.0 r1.3 72.1 73.0 1
19 0 37.0 r1.2 59.0 49.2 1
19 0 37.0 r1.2 59.0 33.0 1
19 0 37.0 r1.2 72.1 95.0 1
19 0 37.0 r1.2 59.0 95.0 1
19 0 37.0 r1.2 80.0 95.0 1
19 0 37.0 r1.2 80.0 37.0 1
19 0 37.0 r1.2 72.2 95.0 1
19 0 20.0 r1.2 64.2 95.0 1
19 0 20.0 r1.2 64.2 37.0 1
19 0 20.0 r1.3 72.1 76.0 1
19 0 20.0 r1.3 72.1 73.0 1
19 0 20.0 r1.2 59.0 49.2 1
19 0 20.0 r1.2 59.0 33.0 1
19 0 20.0 r1.2 72.1 95.0 1
19 0 20.0 r1.2 72.1 37.0 1
19 0 20.0 r1.2 59.0 95.0 1
19 0 20.0 r1.2 59.0 37.0 1
19 0 20.0 r1.2 80.0 95.0 1
19 0 20.0 r1.2 80.0 37.0 1
19 0 20.0 r1.2 72.2 95.0 1
19 0 20.0 r1.2 72.2 37.0 1
19 0 33.0 r1.2 64.2 95.0 1
19 0 33.0 r1.2 64.2 37.0 1
19 0 33.0 r1.3 72.1 76.0 1
19 0 33.0 r1.3 72.1 73.0 1
19 0 33.0 r1.2 59.0 49.2 1
19 0 33.0 r1.2 59.0 33.0 1
19 0 33.0 r1.2 72.1 95.0 1
19 0 33.0 r1.2 72.1 37.0 1
19 0 33.0 r1.2 59.0 95.0 1
19 0 33.0 r1.2 59.0 37.0 1
19 0 33.0 r1.2 80.0 95.0 1
19 0 33.0 r1.2 80.0 37.0 1
19 0 33.0 r1.2 72.2 95.0 1
19 0 33.0 r1.2 72.2 37.0 1
19 0 60.1 r1.2 64.2 95.0 1
19 0 60.1 r1.2 64.2 37.0 1
19 0 60.1 r1.3 72.1 76.0 1
19 0 60.1 r1.3 72.1 73.0 1
19 0 60.1 r1.2 59.0 49.2 1
19 0 60.1 r1.2 59.0 33.0 1
19 0 60.1 r1.2 72.1 95.0 1
19 0 60.1 r1.2 72.1 37.0 1
19 0 60.1 r1.2 59.0 95.0 1
19 0 60.1 r1.2 59.0 37.0 1
19 0 60.1 r1.2 80.0 95.0 1
19 0 60.1 r1.2 80.0 37.0 1
19 0 60.1 r1.2 72.2 95.0 1
19 0 60.1 r1.2 72.2 37.0 1
19 0 64.2 r1.2 61.1 59.0 2
19 0 64.2 r1.1 61.2      2
19 0 64.2 r1.1 62.0      2
19 0 64.2 r1.1 86.1      2
19 0 64.2 r1.1 63.1      2
19 0 64.2 r1.1 13.1      2
19 0 64.2 r1.1 08.0      2
19 0 72.1 r1.2 61.1 59.0 2
19 0 72.1 r1.1 61.2      2
19 0 72.1 r1.1 62.0      2
19 0 72.1 r1.1 86.1      2
19 0 72.1 r1.1 63.1      2
19 0 72.1 r1.1 13.1      2
19 0 72.1 r1.1 08.0      2
19 0 59.0 r1.2 61.1 59.0 2
19 0 59.0 r1.1 61.2      2
19 0 59.0 r1.1 62.0      2
19 0 59.0 r1.1 86.1      2
19 0 59.0 r1.1 63.1      2
19 0 59.0 r1.1 13.1      2
19 0 59.0 r1.1 08.0      2
19 0 80.0 r1.2 61.1 59.0 2
19 0 80.0 r1.1 61.2      2
19 0 80.0 r1.1 62.0      2
19 0 80.0 r1.1 86.1      2
19 0 80.0 r1.1 63.1      2
19 0 80.0 r1.1 13.1      2
19 0 80.0 r1.1 08.0      2
19 0 72.2 r1.2 61.1 59.0 2
19 0 72.2 r1.1 61.2      2
19 0 72.2 r1.1 62.0      2
19 0 72.2 r1.1 86.1      2
19 0 72.2 r1.1 63.1      2
19 0 72.2 r1.1 13.1      2
19 0 72.2 r1.1 08.0      2
19 0 61.1 r1.1 94.0      2
19 0 61.1 r1.1 85.0      2
19 0 61.1 r1.1 86.2      2
19 0 61.1 r1.1 88.2      2
19 0 88.2 r3.0 94.0      2
19 0 61.2 r1.1 94.0      2
19 0 61.2 r1.1 85.0      2
19 0 61.2 r1.1 61.1      2
19 0 61.2 r1.1 86.2      2
19 0 61.2 r1.1 96.0      2
19 0 61.2 r1.1 88.2      2
19 0 62.0 r1.1 94.0      2
19 0 62.0 r1.1 85.0      2
19 0 62.0 r1.1 61.1      2
19 0 62.0 r1.1 86.2      2
19 0 62.0 r1.1 88.2      2
19 0 86.1 r1.1 94.0      2
19 0 86.1 r1.1 85.0      2
19 0 86.1 r1.1 61.1      2
19 0 86.1 r1.1 86.2      2
19 0 86.1 r1.1 88.2      2
19 0 63.1 r1.1 94.0      2
19 0 63.1 r1.1 85.0      2
19 0 63.1 r1.1 61.1      2
19 0 63.1 r1.1 86.2      2
19 0 63.1 r1.1 88.2      2
19 0 13.1 r1.1 94.0      2
19 0 13.1 r1.1 85.0      2
19 0 13.1 r1.1 61.1      2
19 0 13.1 r1.1 86.2      2
19 0 13.1 r1.1 88.2      2
19 0 08.0 r1.1 94.0      2
19 0 08.0 r1.1 85.0      2
19 0 08.0 r1.1 61.1      2
19 0 08.0 r1.1 86.2      2
19 0 08.0 r1.1 88.2      2
17 1      r1.2 40.2 45.3 0
17 1      r1.2 40.2 48.0 0
17 1      r1.2 40.2 49.1 0
17 1      r1.2 40.2 63.2 0
17 1      r1.2 41.1 45.1 0
17 1      r1.2 41.1 46.0 0
17 1 40.2 r1.2 20.0 54.1 1
17 1 40.2 r1.2 20.0 37.0 1
17 1 40.2 r1.2 20.0 30.0 1
17 1 40.2 r1.2 20.0 29.0 1
17 1 40.2 r1.2 20.0 06.2 1
17 1 40.2 r1.2 20.0 35.0 1
17 1 40.2 r1.2 20.0 27.0 1
17 1 40.2 r1.2 20.0 16.0 1
17 1 40.2 r1.2 20.0 18.2 1
17 1 40.2 r1.2 20.0 01.0 1
17 1 40.2 r1.3 20.0 49.2 1
17 1 40.2 r1.2 20.0 33.0 1
17 1 41.1 r1.2 20.0 54.1 1
